first_name,last_name,email,address,cin,rib,city,date_of_birth,bank_name,grade,phone,postal_code,role,som_number
Fatima,El Fassi,dlightewood0@google.com.au,94 Melody Street,ZA301172,300894026435401877665613,Tetouan,1973-10-26 20:29:04,First Bank,Professor,0690122065,2309,1,1534108
Mohammed,El Amrani,swhittick1@ifeng.com,5 Emmet Plaza,PW530036,319325360390016250682448,Tetouan,1999-03-15 09:41:41,City Bank,Researcher,0605931565,,1,0261491
Ahmed,El Fassi,mbernaldez2@addtoany.com,25 Anzinger Park,EM722584,581195178725018849481835,Oujda,1979-12-14 19:36:24,City Bank,Director,0600865732,,1,5667602
Omar,El Amrani,balsina3@liveinternet.ru,4924 Village Green Trail,YY659600,637199228915393596971343,Meknes,1974-12-08 21:50:53,City Bank,Professor,0628830889,,1,1372008
Layla,El Fassi,cpesselt4@accuweather.com,0420 Anniversary Point,NM387404,975114473874144933102928,Tangier,1978-05-22 12:48:13,First Bank,Professor,0647252404,624475,1,9213105
Omar,El Amrani,jmckeand5@about.me,33 Morningstar Park,VI268036,940064811088706550375118,Meknes,1993-03-19 14:04:00,City Bank,Researcher,0681182959,37250-000,1,9368380
Fatima,Benjelloun,ebabbage6@phoca.cz,81017 Norway Maple Crossing,TB998239,331329538216175671175200,Tetouan,1997-10-08 19:52:03,Community Bank,Researcher,0680681734,5223,1,9463643
Ahmed,Bouazza,imoodie7@hp.com,5280 Corry Plaza,IQ482162,030716577253120628194374,Casablanca,1970-12-29 22:53:02,City Bank,Professor,0609044604,055827,1,2879666
Youssef,Zidane,zcaldeiro8@digg.com,0407 Kropf Circle,HL518578,031231929382874274054092,Tetouan,1976-04-14 09:02:03,Peoples Bank,Researcher,0680288772,,1,2006594
Omar,El Amrani,gsapsforde9@ebay.co.uk,0 Starling Avenue,QF236592,727606688013775516070528,Rabat,1987-09-24 20:48:44,City Bank,Chairperson,0697766551,188649,1,1918952
Ali,El Fassi,nlumbya@census.gov,23 Shoshone Park,BD020375,646443653530965452562417,Kenitra,1992-07-05 23:21:55,Community Bank,Dean,0630449026,32239,1,2766894
